Name:  Brown to dark brown gravelly fine sandy loam
Type:  Soils
Class:  Inceptisol
Subclass:  Xerumbrept
Particle Size:  see additional information
Sample No.:  87P325
Owner:  JHU
Wavelength range:  All
Origin:  Klickitat Co., Wa. via USDA Soil Conservation service.

Description:  The parent material is volcanic ash from ejecta-ash 
material over local colluvium from cinders material from hillside or 
mountainside in mountains or deeply dissected plateaus.  Brown to dark 
brown gravelly fine sandy loam (medial-skeletal, frigid andic).


Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P325a.txt

7.0151	1.8564
7.0056	1.8804
6.9962	1.8916
6.9867	1.8857
6.9773	1.8801
6.9679	1.8848
6.9586	1.8755
6.9493	1.9363
6.9400	1.9822
6.9307	1.9895
6.9214	2.0229
6.9122	2.0256
6.9030	2.0076
6.8938	2.0181
6.8847	2.0215
6.8755	2.0161
6.8664	1.9482
6.8573	1.9819
6.8483	2.0820
6.8393	2.1086
6.8302	2.0732
6.8213	2.1211
6.8123	2.1946
6.8034	2.2078
6.7944	2.1894
6.7855	2.2126
6.7767	2.3127
6.7678	2.4216
6.7590	2.4629
6.7502	2.4674
6.7414	2.5054
6.7327	2.5498
6.7239	2.5486
6.7152	2.5364
6.7065	2.5537
6.6979	2.6333
6.6892	2.6186
6.6806	2.5627
6.6720	2.5603
6.6634	2.5930
6.6549	2.6140
6.6464	2.5386
6.6378	2.4248
6.6294	2.4499
6.6209	2.4997
6.6124	2.5071
6.6040	2.4929
6.5956	2.4228
6.5872	2.4246
6.5789	2.4131
6.5705	2.4001
6.5622	2.4311
6.5539	2.3784
6.5456	2.3940
6.5374	2.4404
6.5292	2.4097
6.5209	2.3424
6.5128	2.3472
6.5046	2.2949
6.4964	2.1616
6.4883	2.1533
6.4802	2.2043
6.4721	2.2207
6.4640	2.2356
6.4560	2.2136
6.4480	2.2073
6.4399	2.1533
6.4320	2.0835
6.4240	2.0640
6.4160	1.9705
6.4081	1.9778
6.4002	2.0754
6.3923	2.0657
6.3844	2.0471
6.3766	2.0173
6.3687	1.9753
6.3609	1.9876
6.3531	1.9541
6.3454	1.8538
6.3376	1.8728
6.3299	1.9155
6.3221	1.8804
6.3144	1.8774
6.3068	1.8735
6.2991	1.8372
6.2914	1.8420
6.2838	1.8227
6.2762	1.7964
6.2686	1.7878
6.2611	1.7688
6.2535	1.7566
6.2460	1.7324
6.2385	1.7024
6.2310	1.7192
6.2235	1.6976
6.2160	1.6538
6.2086	1.6472
6.2011	1.6676
6.1937	1.6304
6.1863	1.5471
6.1790	1.5652
6.1716	1.6184
6.1643	1.5864
6.1570	1.5696
6.1496	1.5771
6.1424	1.5666
6.1351	1.5610
6.1278	1.5747
6.1206	1.5488
6.1134	1.5244
6.1062	1.5706
6.0990	1.5984
6.0918	1.5945
6.0847	1.5823
6.0776	1.5608
6.0704	1.5757
6.0633	1.6077
6.0563	1.5767
6.0492	1.4927
6.0421	1.5654
6.0351	1.6453
6.0281	1.6736
6.0211	1.6824
6.0141	1.6858
6.0071	1.7224
6.0002	1.7400
5.9932	1.7480
5.9863	1.7739
5.9794	1.8018
5.9725	1.8296
5.9657	1.8562
5.9588	1.9040
5.9520	1.9133
5.9451	1.9131
5.9383	1.8752
5.9315	1.9421
5.9247	2.0444
5.9180	2.0784
5.9112	2.1316
5.9045	2.1782
5.8978	2.1306
5.8911	2.1724
5.8844	2.1938
5.8777	2.2471
5.8711	2.3755
5.8644	2.4106
5.8578	2.4776
5.8512	2.5671
5.8446	2.6509
5.8380	2.6863
5.8314	2.6692
5.8249	2.6619
5.8184	2.7158
5.8118	2.8584
5.8053	2.9595
5.7988	3.0259
5.7923	3.0969
5.7859	3.1687
5.7794	3.2068
5.7730	3.1974
5.7666	3.1582
5.7602	3.3176
5.7538	3.4495
5.7474	3.4978
5.7410	3.6089
5.7347	3.7131
5.7283	3.7834
5.7220	3.8562
5.7157	3.9263
5.7094	4.0068
5.7031	4.1890
5.6969	4.3232
5.6906	4.4072
5.6844	4.5246
5.6782	4.5544
5.6719	4.6284
5.6657	4.7856
5.6596	4.8381
5.6534	4.8791
5.6472	4.9402
5.6411	4.9658
5.6349	5.1455
5.6288	5.3494
5.6227	5.4966
5.6166	5.5596
5.6106	5.6599
5.6045	5.7815
5.5984	5.9170
5.5924	6.0615
5.5864	6.1374
5.5804	6.1504
5.5744	6.3071
5.5684	6.5232
5.5624	6.6396
5.5564	6.7278
