Name:  Light yellowish brown clay
Type:  Soils
Class:  Aridisol
Subclass:  Salorthid
Particle Size:  see additional information
Sample No.:  89P1763 
Owner:  JHU
Wavelength range:  all
Origin:  San Bernadino Co., Ca.  China Lake via USDA Soil Conservation 
service.
Description: The parent material is alluvium over lacustrine material 
from  playa.  Light yellowish brown clay, (fine-loamy, mixed calcareous, 
thermic typic).



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  89P1763a.txt

5.4228	6.6088
5.4171	6.6505
5.4114	6.7026
5.4058	6.7590
5.4002	6.8118
5.3945	6.8544
5.3889	6.8849
5.3833	6.9051
5.3778	6.9179
5.3722	6.9259
5.3666	6.9335
5.3611	6.9456
5.3555	6.9662
5.3500	6.9977
5.3445	7.0391
5.3390	7.0884
5.3335	7.1400
5.3280	7.1885
5.3225	7.2309
5.3171	7.2672
5.3116	7.2989
5.3062	7.3271
5.3008	7.3541
5.2954	7.3823
5.2900	7.4142
5.2846	7.4514
5.2792	7.4945
5.2738	7.5433
5.2684	7.5947
5.2631	7.6461
5.2578	7.6960
5.2524	7.7448
5.2471	7.7931
5.2418	7.8436
5.2365	7.8961
5.2312	7.9497
5.2260	8.0027
5.2207	8.0555
5.2154	8.1098
5.2102	8.1673
5.2050	8.2298
5.1998	8.2976
5.1945	8.3681
5.1893	8.4380
5.1842	8.5048
5.1790	8.5680
5.1738	8.6274
5.1686	8.6831
5.1635	8.7350
5.1584	8.7837
5.1532	8.8313
5.1481	8.8806
5.1430	8.9343
5.1379	8.9945
5.1328	9.0601
5.1277	9.1290
5.1227	9.1967
5.1176	9.2597
5.1126	9.3166
5.1075	9.3684
5.1025	9.4172
5.0975	9.4648
5.0925	9.5141
5.0875	9.5666
5.0825	9.6225
5.0775	9.6801
5.0726	9.7376
5.0676	9.7938
5.0627	9.8468
5.0577	9.8946
5.0528	9.9370
5.0479	9.9742
5.0430	10.0069
5.0380	10.0355
5.0332	10.0618
5.0283	10.0888
5.0234	10.1187
5.0185	10.1525
5.0137	10.1902
5.0088	10.2307
5.0040	10.2721
4.9992	10.3126
4.9944	10.3515
4.9896	10.3898
4.9848	10.4282
4.9800	10.4675
4.9752	10.5073
4.9704	10.5473
4.9657	10.5871
4.9609	10.6257
4.9562	10.6636
4.9514	10.7010
4.9467	10.7384
4.9420	10.7758
4.9373	10.8125
4.9326	10.8490
4.9279	10.8852
4.9232	10.9210
4.9186	10.9572
4.9139	10.9956
4.9092	11.0375
4.9046	11.0837
4.9000	11.1344
4.8953	11.1895
4.8907	11.2480
4.8861	11.3070
4.8815	11.3648
4.8769	11.4202
4.8723	11.4721
4.8678	11.5201
4.8632	11.5647
4.8586	11.6061
4.8541	11.6452
4.8495	11.6816
4.8450	11.7158
4.8405	11.7475
4.8360	11.7773
4.8315	11.8055
4.8270	11.8316
4.8225	11.8557
4.8180	11.8773
4.8135	11.8964
4.8090	11.9121
4.8046	11.9249
4.8001	11.9353
4.7957	11.9448
4.7913	11.9542
4.7868	11.9632
4.7824	11.9722
4.7780	11.9805
4.7736	11.9874
4.7692	11.9924
4.7648	11.9966
4.7605	12.0023
4.7561	12.0113
4.7517	12.0253
4.7474	12.0447
4.7431	12.0686
4.7387	12.0935
4.7344	12.1162
4.7301	12.1356
4.7258	12.1505
4.7215	12.1614
4.7172	12.1695
4.7129	12.1752
4.7086	12.1787
4.7043	12.1806
4.7000	12.1828
4.6958	12.1868
4.6915	12.1951
4.6873	12.2088
4.6831	12.2299
4.6788	12.2581
4.6746	12.2929
4.6704	12.3360
4.6662	12.3883
4.6620	12.4504
4.6578	12.5207
4.6536	12.5977
4.6495	12.6777
4.6453	12.7566
4.6411	12.8326
4.6370	12.9055
4.6328	12.9766
4.6287	13.0464
4.6246	13.1158
4.6205	13.1842
4.6163	13.2498
4.6122	13.3102
4.6081	13.3654
4.6040	13.4163
4.6000	13.4644
4.5959	13.5120
4.5918	13.5617
4.5877	13.6150
4.5837	13.6714
4.5796	13.7289
4.5756	13.7865
4.5716	13.8416
4.5675	13.8930
4.5635	13.9416
4.5595	13.9878
4.5555	14.0325
4.5515	14.0763
4.5475	14.1185
4.5435	14.1585
4.5395	14.1954
4.5356	14.2293
4.5316	14.2606
4.5276	14.2895
4.5237	14.3160
4.5197	14.3401
4.5158	14.3619
4.5119	14.3825
4.5080	14.4029
4.5040	14.4249
4.5001	14.4498
4.4962	14.4782
4.4923	14.5095
4.4884	14.5424
4.4846	14.5758
4.4807	14.6094
4.4768	14.6437
4.4730	14.6793
4.4691	14.7176
4.4652	14.7598
4.4614	14.8062
4.4576	14.8557
4.4537	14.9076
4.4499	14.9594
4.4461	15.0103
4.4423	15.0591
4.4385	15.1060
4.4347	15.1517
4.4309	15.1972
4.4271	15.2436
4.4233	15.2914
4.4196	15.3407
4.4158	15.3914
4.4120	15.4425
4.4083	15.4937
4.4045	15.5446
4.4008	15.5943
4.3971	15.6424
4.3934	15.6888
4.3896	15.7338
4.3859	15.7779
4.3822	15.8221
4.3785	15.8674
4.3748	15.9135
4.3711	15.9604
4.3674	16.0066
4.3638	16.0516
4.3601	16.0952
4.3564	16.1369
4.3528	16.1781
4.3491	16.2190
4.3455	16.2600
4.3418	16.3007
4.3382	16.3405
4.3346	16.3791
4.3310	16.4165
4.3273	16.4523
4.3237	16.4857
4.3201	16.5170
4.3165	16.5451
4.3129	16.5705
4.3094	16.5932
4.3058	16.6145
4.3022	16.6344
4.2986	16.6536
4.2951	16.6723
4.2915	16.6910
4.2880	16.7111
4.2844	16.7344
4.2809	16.7623
4.2774	16.7976
4.2738	16.8416
4.2703	16.8951
4.2668	16.9558
4.2633	17.0192
4.2598	17.0787
4.2563	17.1275
4.2528	17.1613
4.2493	17.1796
4.2458	17.1855
4.2424	17.1869
4.2389	17.1928
4.2354	17.2089
4.2320	17.2383
4.2285	17.2816
4.2251	17.3370
4.2216	17.4012
4.2182	17.4699
4.2148	17.5414
4.2113	17.6132
4.2079	17.6828
4.2045	17.7479
4.2011	17.8081
4.1977	17.8628
4.1943	17.9116
4.1909	17.9549
4.1875	17.9940
4.1841	18.0304
4.1808	18.0664
4.1774	18.1043
4.1740	18.1453
4.1707	18.1893
4.1673	18.2348
4.1640	18.2784
4.1606	18.3175
4.1573	18.3511
4.1540	18.3802
4.1506	18.4053
4.1473	18.4283
4.1440	18.4503
4.1407	18.4721
4.1374	18.4932
4.1341	18.5126
4.1308	18.5304
4.1275	18.5458
4.1242	18.5574
4.1209	18.5649
4.1177	18.5690
4.1144	18.5704
4.1111	18.5706
4.1079	18.5704
4.1046	18.5701
4.1014	18.5683
4.0981	18.5611
4.0949	18.5467
4.0917	18.5242
4.0884	18.4944
4.0852	18.4593
4.0820	18.4210
4.0788	18.3800
4.0756	18.3345
4.0724	18.2819
4.0692	18.2206
4.0660	18.1498
4.0628	18.0695
4.0596	17.9805
4.0565	17.8820
4.0533	17.7728
4.0501	17.6522
4.0470	17.5201
4.0438	17.3778
4.0406	17.2279
4.0375	17.0730
4.0344	16.9131
4.0312	16.7462
4.0281	16.5683
4.0250	16.3723
4.0218	16.1480
4.0187	15.8858
4.0156	15.5780
4.0125	15.2209
4.0094	14.8164
4.0063	14.3738
4.0032	13.9101
4.0001	13.4457
3.9970	13.0043
3.9940	12.6081
3.9909	12.2775
3.9878	12.0253
3.9847	11.8555
3.9817	11.7636
3.9786	11.7392
3.9756	11.7695
3.9725	11.8436
3.9695	11.9556
3.9665	12.1053
3.9634	12.2969
3.9604	12.5347
3.9574	12.8200
3.9544	13.1487
3.9513	13.5094
3.9483	13.8845
3.9453	14.2502
3.9423	14.5829
3.9393	14.8642
3.9363	15.0854
3.9333	15.2479
3.9304	15.3632
3.9274	15.4468
3.9244	15.5140
3.9214	15.5735
3.9185	15.6294
3.9155	15.6815
3.9126	15.7284
3.9096	15.7684
3.9067	15.8008
3.9037	15.8264
3.9008	15.8453
3.8979	15.8591
3.8949	15.8688
3.8920	15.8757
3.8891	15.8809
3.8862	15.8839
3.8833	15.8842
3.8804	15.8818
3.8775	15.8766
3.8746	15.8693
3.8717	15.8605
3.8688	15.8513
3.8659	15.8416
3.8630	15.8318
3.8601	15.8238
3.8573	15.8195
3.8544	15.8219
3.8515	15.8318
3.8487	15.8513
3.8458	15.8811
3.8430	15.9218
3.8401	15.9744
3.8373	16.0400
3.8344	16.1177
3.8316	16.2046
3.8288	16.2951
3.8259	16.3846
3.8231	16.4691
3.8203	16.5475
3.8175	16.6216
3.8147	16.6936
3.8119	16.7649
3.8091	16.8359
3.8063	16.9041
3.8035	16.9674
3.8007	17.0230
3.7979	17.0704
3.7951	17.1085
3.7924	17.1367
3.7896	17.1547
3.7868	17.1616
3.7841	17.1564
3.7813	17.1405
3.7785	17.1156
3.7758	17.0846
3.7730	17.0493
3.7703	17.0117
3.7676	16.9719
3.7648	16.9302
3.7621	16.8869
3.7594	16.8438
3.7566	16.8021
3.7539	16.7628
3.7512	16.7246
3.7485	16.6860
3.7458	16.6451
3.7431	16.6008
3.7404	16.5539
3.7377	16.5068
3.7350	16.4615
3.7323	16.4182
3.7296	16.3753
3.7269	16.3308
3.7242	16.2830
3.7216	16.2321
3.7189	16.1804
3.7162	16.1307
3.7136	16.0838
3.7109	16.0395
3.7083	15.9957
3.7056	15.9503
3.7030	15.9024
3.7003	15.8520
3.6977	15.8001
3.6950	15.7480
3.6924	15.6959
3.6898	15.6438
3.6872	15.5915
3.6845	15.5387
3.6819	15.4861
3.6793	15.4340
3.6767	15.3824
3.6741	15.3305
3.6715	15.2779
3.6689	15.2235
3.6663	15.1676
3.6637	15.1103
3.6611	15.0530
3.6585	14.9971
3.6560	14.9428
3.6534	14.8915
3.6508	14.8412
3.6482	14.7918
3.6457	14.7423
3.6431	14.6918
3.6406	14.6402
3.6380	14.5874
3.6355	14.5334
3.6329	14.4789
3.6304	14.4235
3.6278	14.3679
3.6253	14.3122
3.6227	14.2568
3.6202	14.2016
3.6177	14.1471
3.6152	14.0931
3.6127	14.0394
3.6101	13.9844
3.6076	13.9274
3.6051	13.8677
3.6026	13.8049
3.6001	13.7398
3.5976	13.6740
3.5951	13.6086
3.5926	13.5456
3.5901	13.4843
3.5876	13.4234
3.5852	13.3600
3.5827	13.2918
3.5802	13.2183
3.5777	13.1416
3.5753	13.0658
3.5728	12.9955
3.5704	12.9346
3.5679	12.8825
3.5654	12.8357
3.5630	12.7895
3.5605	12.7395
3.5581	12.6836
3.5557	12.6213
3.5532	12.5553
3.5508	12.4873
3.5484	12.4179
3.5459	12.3471
3.5435	12.2744
3.5411	12.1993
3.5387	12.1205
3.5363	12.0369
3.5338	11.9469
3.5314	11.8488
3.5290	11.7409
3.5266	11.6232
3.5242	11.4976
3.5218	11.3679
3.5195	11.2376
3.5171	11.1102
3.5147	10.9880
3.5123	10.8720
3.5099	10.7635
3.5075	10.6624
3.5052	10.5693
3.5028	10.4831
3.5004	10.4014
3.4981	10.3211
3.4957	10.2390
3.4934	10.1530
3.4910	10.0630
3.4887	9.9718
3.4863	9.8837
3.4840	9.8054
3.4816	9.7433
3.4793	9.7045
3.4770	9.6924
3.4746	9.7076
3.4723	9.7447
3.4700	9.7954
3.4677	9.8492
3.4653	9.8968
3.4630	9.9313
3.4607	9.9510
3.4584	9.9569
3.4561	9.9524
3.4538	9.9403
3.4515	9.9228
3.4492	9.9010
3.4469	9.8745
3.4446	9.8423
3.4423	9.8039
3.4400	9.7601
3.4378	9.7130
3.4355	9.6656
3.4332	9.6204
3.4309	9.5785
3.4287	9.5389
3.4264	9.4996
3.4241	9.4589
3.4219	9.4151
3.4196	9.3701
3.4174	9.3268
3.4151	9.2872
3.4129	9.2522
3.4106	9.2207
3.4084	9.1911
3.4061	9.1612
3.4039	9.1302
3.4017	9.0980
3.3994	9.0655
3.3972	9.0329
3.3950	8.9992
3.3928	8.9630
3.3906	8.9242
3.3883	8.8823
3.3861	8.8387
3.3839	8.7953
3.3817	8.7546
3.3795	8.7174
3.3773	8.6843
3.3751	8.6530
3.3729	8.6210
3.3707	8.5853
3.3685	8.5448
3.3663	8.4991
3.3641	8.4496
3.3620	8.3982
3.3598	8.3470
3.3576	8.2976
3.3554	8.2511
3.3533	8.2114
3.3511	8.1829
3.3489	8.1694
3.3468	8.1730
3.3446	8.1919
3.3425	8.2215
3.3403	8.2552
3.3382	8.2845
3.3360	8.3044
3.3339	8.3127
3.3317	8.3089
3.3296	8.2947
3.3274	8.2722
3.3253	8.2447
3.3232	8.2142
3.3210	8.1815
3.3189	8.1472
3.3168	8.1112
3.3147	8.0731
3.3126	8.0330
3.3104	7.9930
3.3083	7.9551
3.3062	7.9210
3.3041	7.8905
3.3020	7.8628
3.2999	7.8343
3.2978	7.8036
3.2957	7.7699
3.2936	7.7342
3.2915	7.6972
3.2894	7.6605
3.2874	7.6257
3.2853	7.5935
3.2832	7.5627
3.2811	7.5317
3.2790	7.5000
3.2770	7.4675
3.2749	7.4348
3.2728	7.4040
3.2708	7.3778
3.2687	7.3564
3.2666	7.3387
3.2646	7.3212
3.2625	7.3001
3.2605	7.2731
3.2584	7.2397
3.2564	7.2016
3.2543	7.1611
3.2523	7.1213
3.2503	7.0848
3.2482	7.0531
3.2462	7.0261
3.2442	7.0029
3.2421	6.9823
3.2401	6.9619
3.2381	6.9397
3.2361	6.9145
3.2340	6.8871
3.2320	6.8572
3.2300	6.8250
3.2280	6.7914
3.2260	6.7575
3.2240	6.7244
3.2220	6.6934
3.2200	6.6640
3.2180	6.6361
3.2160	6.6079
3.2140	6.5776
3.2120	6.5449
3.2100	6.5110
3.2080	6.4776
3.2060	6.4461
3.2040	6.4153
3.2021	6.3843
3.2001	6.3526
3.1981	6.3199
3.1961	6.2875
3.1942	6.2571
3.1922	6.2304
3.1902	6.2065
3.1883	6.1818
3.1863	6.1546
3.1844	6.1245
3.1824	6.0914
3.1805	6.0566
3.1785	6.0234
3.1766	5.9933
3.1746	5.9654
3.1727	5.9377
3.1707	5.9097
3.1688	5.8808
3.1669	5.8501
3.1649	5.8176
3.1630	5.7854
3.1611	5.7537
3.1591	5.7219
3.1572	5.6900
