Name:  Brown to dark brown sand
Type:  Soils
Class:  Entisol
Subclass:  Quartzipsamment
Particle Size:  see additional information
Sample No.:  87P706
Owner:  JHU
Wavelength range:  All
Origin:  Dorchester Co., Md. via USDA Soil Conservation service.

Description:  The parent material is alluvium from mixed material from 
upland slope in coastal plains.  Brown to dark brown sand (coated, mesic 
typic).  



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P706a.txt

5.9315	1.3052
5.9247	1.3401
5.9180	1.3384
5.9112	1.3401
5.9045	1.3359
5.8978	1.3230
5.8911	1.3296
5.8844	1.3315
5.8777	1.3752
5.8711	1.4351
5.8644	1.4451
5.8578	1.4861
5.8512	1.5224
5.8446	1.5408
5.8380	1.5398
5.8314	1.5435
5.8249	1.5684
5.8184	1.6121
5.8118	1.6631
5.8053	1.7014
5.7988	1.7456
5.7923	1.7598
5.7859	1.7717
5.7794	1.7952
5.7730	1.8005
5.7666	1.8159
5.7602	1.9006
5.7538	1.9351
5.7474	1.9287
5.7410	1.9819
5.7347	2.0422
5.7283	2.0618
5.7220	2.0977
5.7157	2.1289
5.7094	2.1399
5.7031	2.1643
5.6969	2.1704
5.6906	2.1518
5.6844	2.1531
5.6782	2.1355
5.6719	2.0857
5.6657	2.0469
5.6596	2.0224
5.6534	1.9934
5.6472	1.9502
5.6411	1.9126
5.6349	1.9182
5.6288	1.9311
5.6227	1.9268
5.6166	1.9126
5.6106	1.9321
5.6045	1.9585
5.5984	1.9700
5.5924	1.9790
5.5864	1.9805
5.5804	1.9651
5.5744	1.9880
5.5684	2.0059
5.5624	2.0293
5.5564	2.0464
5.5505	2.0513
5.5445	2.0666
5.5386	2.1101
5.5327	2.1680
5.5268	2.1814
5.5209	2.1843
5.5151	2.2212
5.5092	2.2656
5.5033	2.2986
5.4975	2.2976
5.4917	2.3159
5.4859	2.3528
5.4801	2.3752
5.4743	2.4106
5.4685	2.4172
5.4628	2.4092
5.4570	2.4600
5.4513	2.4934
5.4455	2.4849
5.4398	2.4758
5.4341	2.4734
5.4284	2.4341
5.4228	2.3708
5.4171	2.3564
5.4114	2.3579
5.4058	2.3418
5.4002	2.3245
5.3945	2.3005
5.3889	2.2681
5.3833	2.2456
5.3778	2.2302
5.3722	2.2217
5.3666	2.2039
5.3611	2.1848
5.3555	2.1748
5.3500	2.1431
5.3445	2.1421
5.3390	2.1763
5.3335	2.1914
5.3280	2.1904
5.3225	2.1997
5.3171	2.2183
5.3116	2.2217
5.3062	2.2163
5.3008	2.2163
5.2954	2.2143
5.2900	2.2302
5.2846	2.2820
5.2792	2.2935
5.2738	2.2930
5.2684	2.3210
5.2631	2.3484
5.2578	2.3813
5.2524	2.4226
5.2471	2.4495
5.2418	2.4490
5.2365	2.4805
5.2312	2.5308
5.2260	2.5771
5.2207	2.6379
5.2154	2.6787
5.2102	2.7039
5.2050	2.7402
5.1998	2.7761
5.1945	2.8064
5.1893	2.8279
5.1842	2.8169
5.1790	2.8005
5.1738	2.7954
5.1686	2.8039
5.1635	2.8264
5.1584	2.8303
5.1532	2.8174
5.1481	2.7900
5.1430	2.7810
5.1379	2.8149
5.1328	2.8594
5.1277	2.8628
5.1227	2.8457
5.1176	2.8484
5.1126	2.8638
5.1075	2.8767
5.1025	2.8586
5.0975	2.8328
5.0925	2.8428
5.0875	2.8508
5.0825	2.8318
5.0775	2.8289
5.0726	2.8467
5.0676	2.8342
5.0627	2.8249
5.0577	2.8274
5.0528	2.8518
5.0479	2.8577
5.0430	2.8447
5.0380	2.8428
5.0332	2.8577
5.0283	2.8706
5.0234	2.8691
5.0185	2.8647
5.0137	2.8747
5.0088	2.8743
5.0040	2.8767
4.9992	2.8877
4.9944	2.9216
4.9896	2.9326
4.9848	2.9424
4.9800	2.9714
4.9752	2.9939
4.9704	3.0217
4.9657	3.0891
4.9609	3.1394
4.9562	3.1658
4.9514	3.2197
4.9467	3.2800
4.9420	3.3208
4.9373	3.3618
4.9326	3.4065
4.9279	3.4451
4.9232	3.5203
4.9186	3.6648
4.9139	3.7969
4.9092	3.9485
4.9046	4.1677
4.9000	4.4624
4.8953	4.7869
4.8907	5.1555
4.8861	5.5434
4.8815	5.9277
4.8769	6.3259
4.8723	6.7173
4.8678	7.0967
4.8632	7.4431
4.8586	7.7517
4.8541	8.0527
4.8495	8.3747
4.8450	8.6767
4.8405	8.9360
