Name:  Dark yellowish brown micaceous loam
Type:  Soils
Class:  Inceptisol
Subclass:  Dystrochrept
Particle Size:  see additional information
Sample No.:  88P2535
Owner:  JHU
Wavelength range:  All
Origin: Howard Co., Md. via USDA Soil Conservation service.

Description:  The parent material is schist and phyllite.  Dark 
yellowish brown micaceous loam (coarse-loamy, micaceous, mesic typic), 
from piedmonts.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  88P2535a.txt

8.8922	6.3364
8.8770	6.4043
8.8618	6.4414
8.8467	6.4275
8.8316	6.3703
8.8166	6.3098
8.8016	6.2424
8.7867	6.1460
8.7718	6.0371
8.7570	5.9299
8.7422	5.8149
8.7275	5.6853
8.7129	5.5405
8.6982	5.3909
8.6837	5.1973
8.6692	4.9307
8.6547	4.6421
8.6403	4.4297
8.6259	4.3459
8.6116	4.4055
8.5973	4.5918
8.5830	4.8503
8.5688	5.0806
8.5547	5.2280
8.5406	5.2944
8.5266	5.3269
8.5126	5.3454
8.4986	5.3569
8.4847	5.3650
8.4708	5.3794
8.4570	5.3950
8.4432	5.4167
8.4295	5.4377
8.4158	5.4668
8.4022	5.5080
8.3886	5.5517
8.3750	5.5915
8.3615	5.6396
8.3481	5.7043
8.3347	5.7766
8.3213	5.8428
8.3079	5.9121
8.2946	5.9963
8.2814	6.0947
8.2682	6.1907
8.2550	6.2756
8.2419	6.3452
8.2288	6.3882
8.2158	6.3918
8.2028	6.3769
8.1898	6.3401
8.1769	6.2585
8.1640	6.1255
8.1512	5.9560
8.1384	5.7500
8.1256	5.5232
8.1129	5.3005
8.1002	5.0947
8.0876	4.8970
8.0750	4.6990
8.0624	4.5083
8.0499	4.3291
8.0374	4.1558
8.0250	3.9944
8.0126	3.8484
8.0002	3.7017
7.9879	3.5569
7.9756	3.4224
7.9634	3.2966
7.9512	3.1789
7.9390	3.0720
7.9268	2.9768
7.9147	2.8818
7.9027	2.7847
7.8906	2.6990
7.8786	2.6345
7.8667	2.5776
7.8548	2.5176
7.8429	2.4575
7.8310	2.4089
7.8192	2.3738
7.8075	2.3518
7.7957	2.3467
7.7840	2.3498
7.7723	2.3472
7.7607	2.3445
7.7491	2.3430
7.7375	2.3332
7.7260	2.3259
7.7145	2.3227
7.7031	2.3110
7.6916	2.2900
7.6802	2.2703
7.6689	2.2683
7.6575	2.2681
7.6462	2.2568
7.6350	2.2510
7.6238	2.2517
7.6126	2.2427
7.6014	2.2280
7.5903	2.2109
7.5792	2.2024
7.5681	2.1977
7.5571	2.1995
7.5461	2.2163
7.5351	2.2302
7.5242	2.2256
7.5133	2.2224
7.5024	2.2207
7.4916	2.2234
7.4807	2.2307
7.4700	2.2439
7.4592	2.2649
7.4485	2.2749
7.4378	2.2644
7.4272	2.2600
7.4165	2.2676
7.4059	2.2815
7.3954	2.2922
7.3848	2.2986
7.3743	2.3054
7.3639	2.3074
7.3534	2.2991
7.3430	2.2952
7.3326	2.2983
7.3222	2.3037
7.3119	2.3088
7.3016	2.3162
7.2914	2.3259
7.2811	2.3437
7.2709	2.3689
7.2607	2.3916
7.2506	2.4119
7.2404	2.4287
7.2303	2.4346
7.2203	2.4363
7.2102	2.4409
7.2002	2.4514
7.1902	2.4634
7.1803	2.4768
7.1703	2.5017
7.1604	2.5288
7.1506	2.5425
7.1407	2.5588
7.1309	2.5791
7.1211	2.6013
7.1113	2.6155
7.1016	2.6306
7.0919	2.6499
7.0822	2.6614
7.0725	2.6636
7.0629	2.6648
7.0533	2.6619
7.0437	2.6667
7.0341	2.6731
7.0246	2.6855
7.0151	2.7136
7.0056	2.7419
6.9962	2.7703
6.9867	2.8042
6.9773	2.8408
6.9679	2.8833
6.9586	2.9224
6.9493	2.9607
6.9400	3.0010
6.9307	3.0300
6.9214	3.0544
6.9122	3.0796
6.9030	3.1106
6.8938	3.1355
6.8847	3.1472
6.8755	3.1643
6.8664	3.1868
6.8573	3.2170
6.8483	3.2600
6.8393	3.3022
6.8302	3.3459
6.8213	3.3789
6.8123	3.3987
6.8034	3.4267
6.7944	3.4626
6.7855	3.5078
6.7767	3.5583
6.7678	3.6047
6.7590	3.6418
6.7502	3.6716
6.7414	3.6816
6.7327	3.6831
6.7239	3.6897
6.7152	3.7009
6.7065	3.7073
6.6979	3.7148
6.6892	3.7219
6.6806	3.7317
6.6720	3.7344
6.6634	3.7234
6.6549	3.7124
6.6464	3.7126
6.6378	3.7126
6.6294	3.7078
6.6209	3.6933
6.6124	3.6831
6.6040	3.6711
6.5956	3.6406
6.5872	3.6099
6.5789	3.5974
6.5705	3.5918
6.5622	3.5871
6.5539	3.5928
6.5456	3.6116
6.5374	3.6330
6.5292	3.6538
6.5209	3.6680
6.5128	3.6631
6.5046	3.6550
6.4964	3.6628
6.4883	3.6868
6.4802	3.7161
6.4721	3.7595
6.4640	3.8100
6.4560	3.8396
6.4480	3.8481
6.4399	3.8364
6.4320	3.8074
6.4240	3.7737
6.4160	3.7441
6.4081	3.7290
6.4002	3.7217
6.3923	3.7178
6.3844	3.7229
6.3766	3.7117
6.3687	3.6777
6.3609	3.6392
6.3531	3.5981
6.3454	3.5586
6.3376	3.5295
6.3299	3.5029
6.3221	3.4717
6.3144	3.4343
6.3068	3.3828
6.2991	3.3230
6.2914	3.2651
6.2838	3.2192
6.2762	3.1902
6.2686	3.1577
6.2611	3.1199
6.2535	3.0820
6.2460	3.0398
6.2385	2.9863
6.2310	2.9346
6.2235	2.9021
6.2160	2.8760
6.2086	2.8428
6.2011	2.8093
6.1937	2.7827
6.1863	2.7541
6.1790	2.7200
6.1716	2.6990
6.1643	2.6826
6.1570	2.6543
6.1496	2.6274
6.1424	2.6145
6.1351	2.6057
6.1278	2.5991
6.1206	2.6011
6.1134	2.6160
6.1062	2.6233
6.0990	2.6240
6.0918	2.6299
6.0847	2.6409
6.0776	2.6426
6.0704	2.6370
6.0633	2.6357
6.0563	2.6492
6.0492	2.6709
6.0421	2.6975
6.0351	2.7261
6.0281	2.7607
6.0211	2.7964
6.0141	2.8279
6.0071	2.8603
6.0002	2.8957
5.9932	2.9289
5.9863	2.9622
5.9794	3.0005
5.9725	3.0403
5.9657	3.0879
5.9588	3.1370
5.9520	3.1843
5.9451	3.2339
5.9383	3.2817
5.9315	3.3411
5.9247	3.4187
5.9180	3.4951
5.9112	3.5793
5.9045	3.6628
5.8978	3.7397
5.8911	3.8220
5.8844	3.9126
5.8777	4.0271
5.8711	4.1504
5.8644	4.2690
5.8578	4.3974
5.8512	4.5190
5.8446	4.6081
5.8380	4.6777
5.8314	4.7527
5.8249	4.8423
5.8184	4.9358
5.8118	5.0344
5.8053	5.1470
5.7988	5.2615
5.7923	5.3557
5.7859	5.4258
5.7794	5.4985
5.7730	5.5793
5.7666	5.6579
5.7602	5.7329
5.7538	5.8147
5.7474	5.9106
5.7410	6.0100
5.7347	6.0989
5.7283	6.1772
5.7220	6.2502
5.7157	6.3154
5.7094	6.3681
5.7031	6.4143
5.6969	6.4614
5.6906	6.5093
5.6844	6.5447
5.6782	6.5515
5.6719	6.5476
5.6657	6.5364
5.6596	6.4939
5.6534	6.4370
5.6472	6.3879
5.6411	6.3533
5.6349	6.3257
5.6288	6.3093
5.6227	6.3149
5.6166	6.3276
5.6106	6.3281
5.6045	6.3266
5.5984	6.3191
5.5924	6.3093
5.5864	6.3074
5.5804	6.3208
5.5744	6.3401
5.5684	6.3630
5.5624	6.3896
5.5564	6.4184
5.5505	6.4431
5.5445	6.4729
5.5386	6.5173
5.5327	6.5603
5.5268	6.5972
5.5209	6.6372
5.5151	6.6750
5.5092	6.7063
5.5033	6.7353
5.4975	6.7693
5.4917	6.8056
5.4859	6.8401
5.4801	6.8833
5.4743	6.9492
5.4685	7.0244
5.4628	7.0962
5.4570	7.1640
5.4513	7.2202
5.4455	7.2597
5.4398	7.2739
5.4341	7.2676
5.4284	7.2507
5.4228	7.2190
5.4171	7.1697
5.4114	7.1120
5.4058	7.0442
5.4002	6.9587
5.3945	6.8545
5.3889	6.7488
5.3833	6.6499
5.3778	6.5613
5.3722	6.4924
5.3666	6.4397
5.3611	6.3984
5.3555	6.3689
5.3500	6.3640
5.3445	6.3816
5.3390	6.4153
5.3335	6.4707
5.3280	6.5405
5.3225	6.6040
5.3171	6.6575
5.3116	6.7129
5.3062	6.7724
5.3008	6.8291
5.2954	6.8899
5.2900	6.9656
5.2846	7.0544
5.2792	7.1528
5.2738	7.2539
5.2684	7.3618
5.2631	7.4812
5.2578	7.6091
5.2524	7.7400
5.2471	7.8774
5.2418	8.0315
5.2365	8.1997
5.2312	8.3520
5.2260	8.4868
5.2207	8.6196
5.2154	8.7368
5.2102	8.8249
5.2050	8.8899
5.1998	8.9529
5.1945	9.0180
5.1893	9.0578
5.1842	9.0840
5.1790	9.1186
5.1738	9.1455
5.1686	9.1618
5.1635	9.1762
5.1584	9.1960
5.1532	9.2275
5.1481	9.2566
5.1430	9.2895
5.1379	9.3266
5.1328	9.3586
5.1277	9.4016
5.1227	9.4536
5.1176	9.4990
5.1126	9.5432
5.1075	9.5852
5.1025	9.6247
5.0975	9.6494
5.0925	9.6511
5.0875	9.6438
5.0825	9.6421
5.0775	9.6333
5.0726	9.6250
5.0676	9.6394
5.0627	9.6726
5.0577	9.7129
5.0528	9.7485
5.0479	9.7871
5.0430	9.8337
5.0380	9.8696
5.0332	9.8911
5.0283	9.9096
5.0234	9.9277
5.0185	9.9455
5.0137	9.9677
5.0088	9.9995
5.0040	10.0434
4.9992	10.0957
4.9944	10.1589
4.9896	10.2436
4.9848	10.3423
4.9800	10.4521
4.9752	10.5825
4.9704	10.7280
4.9657	10.8823
4.9609	11.0322
4.9562	11.1753
4.9514	11.3076
4.9467	11.4104
4.9420	11.4887
4.9373	11.5608
4.9326	11.6328
4.9279	11.7170
4.9232	11.8244
4.9186	11.9682
4.9139	12.1545
4.9092	12.3674
4.9046	12.5935
4.9000	12.8288
4.8953	13.0683
4.8907	13.2976
4.8861	13.5090
4.8815	13.7116
4.8769	13.9028
4.8723	14.0720
4.8678	14.2170
4.8632	14.3454
4.8586	14.4675
4.8541	14.5815
4.8495	14.6911
4.8450	14.7968
4.8405	14.8967
4.8360	14.9980
4.8315	15.0908
4.8270	15.1718
4.8225	15.2534
4.8180	15.3335
4.8135	15.4077
4.8090	15.4809
