Name:  Basalt
Type:  Rock
Class: Igneous   
Subclass: Mafic 
Particle Size:  Whole rock chips
Sample No.:  ba9c2f
Owner:  Larry Rowan, USGS
Wavelength range:  VNIR SWIR IR
Origin:  Wadi Salima, Jordan

Description:  dark gray vesicular basalt 





Measurement:  Reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  0.4
Last X Value:  14.01309
Number of X Values:  2826
Additional Information:  ba9c2fa.txt

1.22	0.095
1.224	0.095
1.228	0.095
1.232	0.095
1.236	0.095
1.24	0.095
1.244	0.095
1.248	0.094
1.252	0.094
1.256	0.094
1.26	0.094
1.264	0.094
1.268	0.095
1.272	0.094
1.276	0.094
1.28	0.093
1.284	0.094
1.288	0.094
1.292	0.094
1.296	0.093
1.3	0.093
1.304	0.093
1.308	0.093
1.312	0.093
1.316	0.093
1.32	0.094
1.324	0.094
1.328	0.094
1.332	0.094
1.336	0.094
1.34	0.094
1.344	0.094
1.348	0.093
1.352	0.09
1.356	0.092
1.36	0.092
1.364	0.09
1.368	0.09
1.372	0.092
1.376	0.09
1.38	0.093
1.384	0.093
1.388	0.092
1.392	0.09
1.396	0.089
1.4	0.089
1.404	0.089
1.408	0.09
1.412	0.09
1.416	0.09
1.42	0.09
1.424	0.09
1.428	0.09
1.432	0.089
1.436	0.09
1.44	0.09
1.444	0.09
1.448	0.09
1.452	0.09
1.456	0.09
1.46	0.09
1.464	0.09
1.468	0.088
1.472	0.088
1.476	0.088
1.48	0.089
1.484	0.089
1.488	0.089
1.492	0.089
1.496	0.089
1.5	0.089
1.504	0.089
1.508	0.089
1.512	0.089
1.516	0.089
1.52	0.089
1.524	0.089
1.528	0.089
1.532	0.09
1.536	0.089
1.54	0.089
1.544	0.09
1.548	0.089
1.552	0.089
1.556	0.089
1.56	0.089
1.564	0.089
1.568	0.089
1.572	0.089
1.576	0.088
1.58	0.088
1.584	0.088
1.588	0.088
1.592	0.088
1.596	0.088
1.6	0.088
1.604	0.089
1.608	0.088
1.612	0.088
1.616	0.088
1.62	0.088
1.624	0.088
1.628	0.088
1.632	0.088
1.636	0.088
1.64	0.088
1.644	0.089
1.648	0.089
1.652	0.088
1.656	0.088
1.66	0.088
1.664	0.088
1.668	0.088
1.672	0.088
1.676	0.088
1.68	0.088
1.684	0.088
1.688	0.088
1.692	0.088
1.696	0.088
1.7	0.088
1.704	0.085
1.708	0.087
1.712	0.087
1.716	0.087
1.72	0.087
1.724	0.087
1.728	0.087
1.732	0.087
1.736	0.087
1.74	0.087
1.744	0.085
1.748	0.085
1.752	0.084
1.756	0.085
