Name:  Basalt
Type:  Rock
Class: Igneous   
Subclass: Mafic  
Particle Size:  Whole rock chips
Sample No.:  ba9a1f
Owner:  Larry Rowan, USGS
Wavelength range:  VNIR SWIR IR
Origin:  Wadi Salima, Jordan

Description:  dark gray vesicular basalt 





Measurement:  Reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  0.4
Last X Value:  14.01309
Number of X Values:  2826
Additional Information:  ba9a1fa.txt

2.43699	0.0446
2.43814	0.0436
2.43929	0.0447
2.44043	0.0448
2.44158	0.044
2.44273	0.0447
2.44388	0.0448
2.44504	0.0439
2.44619	0.045
2.44734	0.0452
2.4485	0.0444
2.44966	0.0438
2.45081	0.0444
2.45197	0.0454
2.45313	0.0462
2.45429	0.0461
2.45545	0.0452
2.45662	0.0442
2.45778	0.0435
2.45895	0.0433
2.46011	0.0431
2.46128	0.0429
2.46245	0.0447
2.46362	0.046
2.46479	0.0459
2.46596	0.0455
2.46714	0.0453
2.46831	0.0444
2.46949	0.042
2.47066	0.0411
2.47184	0.0421
2.47302	0.0434
2.4742	0.0448
2.47538	0.045
2.47656	0.044
2.47774	0.0432
2.47893	0.0432
2.48011	0.0436
2.4813	0.0437
2.48249	0.0428
2.48368	0.0432
2.48487	0.044
2.48606	0.0433
2.48725	0.0428
2.48844	0.0427
2.48964	0.0433
2.49083	0.0438
2.49203	0.0431
2.49323	0.042
2.49443	0.0407
2.49563	0.0419
2.49683	0.0434
2.49803	0.0428
2.49924	0.0424
2.50044	0.0437
2.50165	0.0437
2.50286	0.0424
2.50406	0.0422
2.50527	0.0421
2.50648	0.042
2.5077	0.0424
2.50891	0.042
2.51012	0.0418
2.51134	0.0423
2.51256	0.0429
2.51377	0.044
2.51499	0.0444
2.51621	0.0433
2.51743	0.0419
2.51866	0.0411
2.51988	0.0406
2.52111	0.0405
2.52233	0.0412
2.52356	0.0412
2.52479	0.0415
2.52602	0.042
2.52725	0.0427
2.52848	0.0419
2.52971	0.0423
2.53095	0.0424
2.53218	0.0429
2.53342	0.0433
2.53466	0.0424
2.5359	0.0424
2.53714	0.0429
2.53838	0.0425
2.53962	0.0414
2.54087	0.0412
2.54211	0.0412
2.54336	0.0403
2.54461	0.041
2.54586	0.0406
2.54711	0.0403
2.54836	0.0415
2.54961	0.0408
2.55087	0.0398
2.55212	0.0399
2.55338	0.0413
2.55464	0.0425
2.55589	0.0408
2.55716	0.0403
2.55842	0.0406
2.55968	0.039
2.56094	0.0379
2.56221	0.037
2.56348	0.0366
2.56474	0.039
2.56601	0.0412
2.56728	0.041
2.56855	0.0394
2.56983	0.0403
2.5711	0.0414
2.57238	0.0388
2.57365	0.0375
2.57493	0.039
2.57621	0.0391
2.57749	0.0415
2.57877	0.0421
2.58005	0.0401
2.58134	0.0389
2.58262	0.0376
2.58391	0.0362
2.5852	0.0369
2.58649	0.0355
2.58778	0.0375
2.58907	0.0397
2.59036	0.0413
2.59166	0.0405
2.59295	0.0364
2.59425	0.0328
2.59555	0.0342
2.59685	0.0375
2.59815	0.0396
2.59945	0.04
2.60076	0.0387
2.60206	0.0373
2.60337	0.0372
2.60467	0.0352
2.60598	0.0357
2.60729	0.0372
2.6086	0.0374
2.60992	0.0392
2.61123	0.0399
2.61255	0.0393
2.61386	0.0398
2.61518	0.0375
2.6165	0.0351
2.61782	0.0357
2.61914	0.0361
2.62047	0.0371
2.62179	0.0399
2.62312	0.0403
2.62445	0.0391
2.62577	0.036
2.6271	0.0364
2.62844	0.0367
2.62977	0.035
2.6311	0.0364
2.63244	0.0385
2.63378	0.0384
2.63511	0.0403
2.63645	0.0416
2.63779	0.0416
2.63914	0.0412
2.64048	0.0395
2.64183	0.0395
2.64317	0.0401
2.64452	0.0366
2.64587	0.0365
2.64722	0.0379
2.64857	0.0379
2.64992	0.0373
2.65128	0.0371
2.65264	0.0389
2.65399	0.0392
2.65535	0.0376
2.65671	0.0387
2.65807	0.0379
2.65944	0.036
2.6608	0.0351
2.66217	0.0343
2.66353	0.0328
2.6649	0.0318
2.66627	0.0326
2.66764	0.0345
2.66902	0.0327
2.67039	0.0302
2.67177	0.0323
2.67314	0.0335
2.67452	0.0341
2.6759	0.0332
2.67728	0.033
2.67867	0.0335
2.68005	0.034
2.68144	0.0345
2.68282	0.0332
2.68421	0.0324
2.6856	0.0306
2.68699	0.0312
2.68839	0.0326
2.68978	0.0333
2.69118	0.0304
2.69257	0.0276
2.69397	0.0277
2.69537	0.0293
2.69677	0.0278
2.69818	0.0277
2.69958	0.0277
2.70099	0.0261
2.7024	0.0248
2.7038	0.0255
2.70522	0.0258
2.70663	0.0252
2.70804	0.0236
2.70945	0.0232
2.71087	0.0237
2.71229	0.0252
2.71371	0.0257
2.71513	0.026
2.71655	0.025
2.71797	0.0233
2.7194	0.0203
