Name: Aplite
Type: Rocks
Class: Igneous
Subclass: Felsic
Particle Size: Solid
Sample No.: Aplite.H1
Owner: JHU
Wavelength range: All
Origin: From Boulder County, Colorado via Ward's Scientific (Cat. No. W-
101)
Description: A fine-grained to medium-grained leucocratic rock composed 
of quartz, feldspar, micas and opaques.




Measurement: Directional (10 degree) hemispherical reflectance
First Column: X
Second Column: Y
X Units: Wavelength (micrometers)
Y Units: Reflectance (percent)
First X Value: 14.0112
Last X Value: 0.4000
Number of X Values: 2844
Additional information:	aplite1a.doc
6.1062	1.8607
6.0990	1.8853
6.0918	1.9163
6.0847	1.9181
6.0776	1.9263
6.0704	1.9486
6.0633	1.9395
6.0563	1.9184
6.0492	1.9807
6.0421	1.9894
6.0351	1.9296
6.0281	1.9164
6.0211	1.9561
6.0141	1.9673
6.0071	1.9481
6.0002	1.9507
5.9932	1.9678
5.9863	1.9774
5.9794	1.9767
5.9725	1.9652
5.9657	1.9582
5.9588	1.9444
5.9520	1.9716
5.9451	1.9943
5.9383	2.0158
5.9315	2.0130
5.9247	1.9781
5.9180	1.9753
5.9112	1.9805
5.9045	1.9966
5.8978	2.0364
5.8911	2.0377
5.8844	2.0288
5.8777	2.0322
5.8711	2.0454
5.8644	2.0771
5.8578	2.0845
5.8512	2.0916
5.8446	2.0909
5.8380	2.0831
5.8314	2.1161
5.8249	2.1457
5.8184	2.1375
5.8118	2.1309
5.8053	2.1654
5.7988	2.1639
5.7923	2.1755
5.7859	2.1867
5.7794	2.1785
5.7730	2.1732
5.7666	2.1872
5.7602	2.1862
5.7538	2.1966
5.7474	2.2101
5.7410	2.2249
5.7347	2.2090
5.7283	2.1938
5.7220	2.2083
5.7157	2.2451
5.7094	2.2566
5.7031	2.2395
5.6969	2.2688
5.6906	2.3025
5.6844	2.2852
5.6782	2.2767
5.6719	2.2810
5.6657	2.2748
5.6596	2.2657
5.6534	2.2512
5.6472	2.2481
5.6411	2.2647
5.6349	2.2735
5.6288	2.2741
5.6227	2.2974
5.6166	2.2903
5.6106	2.2453
5.6045	2.2483
5.5984	2.2678
5.5924	2.2831
5.5864	2.2932
5.5804	2.2810
5.5744	2.2236
5.5684	2.2732
5.5624	2.3322
5.5564	2.3264
5.5505	2.3377
5.5445	2.3220
5.5386	2.3532
5.5327	2.3981
5.5268	2.4086
5.5209	2.4132
5.5151	2.4232
5.5092	2.4153
5.5033	2.4283
5.4975	2.4678
5.4917	2.4881
5.4859	2.4958
5.4801	2.5104
5.4743	2.4961
5.4685	2.5038
5.4628	2.5446
5.4570	2.5455
5.4513	2.5239
5.4455	2.5481
5.4398	2.5741
5.4341	2.5777
5.4284	2.5898
5.4228	2.5957
5.4171	2.6241
5.4114	2.6156
5.4058	2.5877
5.4002	2.5980
5.3945	2.6224
5.3889	2.6147
5.3833	2.5884
5.3778	2.5821
5.3722	2.6016
5.3666	2.6124
5.3611	2.6145
5.3555	2.6243
5.3500	2.6168
5.3445	2.6247
5.3390	2.6480
5.3335	2.6480
5.3280	2.6662
5.3225	2.6815
5.3171	2.7047
5.3116	2.6941
5.3062	2.7021
5.3008	2.7112
5.2954	2.7112
5.2900	2.7140
5.2846	2.7122
5.2792	2.7132
5.2738	2.7124
5.2684	2.7511
5.2631	2.7940
5.2578	2.7971
5.2524	2.7689
5.2471	2.7567
5.2418	2.7971
5.2365	2.8390
5.2312	2.8668
5.2260	2.8875
5.2207	2.9051
5.2154	2.9358
5.2102	2.9613
5.2050	2.9561
5.1998	2.9576
5.1945	2.9972
5.1893	3.0185
5.1842	3.0176
5.1790	3.0328
5.1738	3.0517
5.1686	3.0420
5.1635	3.0600
5.1584	3.1200
5.1532	3.1301
5.1481	3.1270
5.1430	3.1356
5.1379	3.1481
5.1328	3.1582
5.1277	3.1692
5.1227	3.1880
5.1176	3.2161
5.1126	3.2484
5.1075	3.3018
5.1025	3.3176
5.0975	3.2824
5.0925	3.2911
5.0875	3.3153
5.0825	3.3291
5.0775	3.3371
5.0726	3.3438
5.0676	3.3631
5.0627	3.3804
5.0577	3.3686
5.0528	3.3881
5.0479	3.4167
5.0430	3.4122
5.0380	3.3896
5.0332	3.4052
5.0283	3.4488
5.0234	3.4788
5.0185	3.4964
5.0137	3.5004
5.0088	3.5078
5.0040	3.5147
4.9992	3.5463
4.9944	3.5316
4.9896	3.5234
4.9848	3.5444
4.9800	3.5896
4.9752	3.6384
4.9704	3.7021
4.9657	3.7402
4.9609	3.7169
4.9562	3.6907
4.9514	3.6996
4.9467	3.7324
4.9420	3.7701
4.9373	3.7613
4.9326	3.7571
4.9279	3.7613
4.9232	3.7641
4.9186	3.8161
4.9139	3.8381
4.9092	3.8580
4.9046	3.8972
4.9000	3.9527
4.8953	3.9782
4.8907	3.9949
4.8861	4.0662
4.8815	4.1452
4.8769	4.1779
4.8723	4.2002
4.8678	4.2265
4.8632	4.2572
4.8586	4.3296
4.8541	4.3990
4.8495	4.4102
4.8450	4.4283
4.8405	4.4484
4.8360	4.4503
4.8315	4.4634
4.8270	4.4916
4.8225	4.5106
4.8180	4.5293
4.8135	4.5457
4.8090	4.5748
4.8046	4.5804
4.8001	4.5659
4.7957	4.5872
4.7913	4.6184
4.7868	4.6432
4.7824	4.6709
4.7780	4.7247
4.7736	4.7301
4.7692	4.7107
4.7648	4.7015
4.7605	4.7093
4.7561	4.7400
4.7517	4.7649
4.7474	4.7930
4.7431	4.8426
4.7387	4.8605
4.7344	4.8567
4.7301	4.8614
4.7258	4.8504
4.7215	4.8616
4.7172	4.8525
4.7129	4.8815
4.7086	4.9335
4.7043	4.8834
4.7000	4.8374
4.6958	4.8319
4.6915	4.8421
4.6873	4.8415
4.6831	4.8654
4.6788	4.8738
4.6746	4.8895
4.6704	4.9122
4.6662	4.9408
4.6620	4.9704
4.6578	5.0179
4.6536	5.0508
4.6495	5.0628
4.6453	5.1309
4.6411	5.1968
4.6370	5.2265
4.6328	5.2498
4.6287	5.3172
4.6246	5.3859
4.6205	5.4159
4.6163	5.4321
4.6122	5.4925
4.6081	5.5455
4.6040	5.5671
4.6000	5.6044
4.5959	5.6754
4.5918	5.6867
4.5877	5.6604
4.5837	5.6974
4.5796	5.7597
4.5756	5.8015
4.5716	5.8284
4.5675	5.8704
4.5635	5.8914
4.5595	5.8917
4.5555	5.9104
4.5515	5.9683
4.5475	6.0220
4.5435	6.0178
4.5395	6.0129
4.5356	6.0492
4.5316	6.0813
4.5276	6.0729
4.5237	6.0361
4.5197	6.0429
4.5158	6.0501
4.5119	6.0295
4.5080	5.9960
4.5040	5.9693
4.5001	5.9628
4.4962	5.9742
4.4923	5.9958
4.4884	6.0394
4.4846	6.0703
4.4807	6.0876
4.4768	6.0637
4.4730	6.0703
4.4691	6.0912
4.4652	6.1453
4.4614	6.1917
4.4576	6.2364
4.4537	6.3070
4.4499	6.3680
4.4461	6.3966
4.4423	6.4516
4.4385	6.5182
4.4347	6.5580
4.4309	6.5948
4.4271	6.6581
4.4233	6.7158
4.4196	6.7690
4.4158	6.8196
4.4120	6.8556
4.4083	6.9093
4.4045	6.9977
4.4008	7.0717
4.3971	7.1124
4.3934	7.1606
4.3896	7.2680
4.3859	7.3571
4.3822	7.4327
4.3785	7.5335
4.3748	7.6551
4.3711	7.7267
4.3674	7.8106
4.3638	7.8998
4.3601	7.9711
4.3564	8.0552
4.3528	8.1372
4.3491	8.2350
4.3455	8.3259
4.3418	8.4068
4.3382	8.4766
4.3346	8.5524
4.3310	8.6594
4.3273	8.7584
4.3237	8.8012
4.3201	8.8171
4.3165	8.8612
4.3129	8.9093
4.3094	8.9405
4.3058	9.0108
4.3022	9.0829
4.2986	9.1148
4.2951	9.1605
4.2915	9.2114
4.2880	9.2602
4.2844	9.3148
4.2809	9.3925
4.2774	9.4587
4.2738	9.5367
4.2703	9.6156
4.2668	9.6769
4.2633	9.7725
4.2598	9.8791
4.2563	9.9841
4.2528	10.0659
4.2493	10.0807
4.2458	10.0997
4.2424	10.1672
4.2389	10.2131
4.2354	10.2527
4.2320	10.2937
4.2285	10.3495
4.2251	10.4304
4.2216	10.4676
4.2182	10.5112
4.2148	10.5478
4.2113	10.5820
4.2079	10.6054
4.2045	10.6662
4.2011	10.6989
4.1977	10.7390
4.1943	10.7950
4.1909	10.8539
4.1875	10.8982
4.1841	10.9699
4.1808	11.0493
4.1774	11.1626
4.1740	11.2260
4.1707	11.2561
4.1673	11.3142
4.1640	11.3698
4.1606	11.4470
4.1573	11.5213
4.1540	11.5842
4.1506	11.6238
4.1473	11.6568
4.1440	11.7124
4.1407	11.7709
4.1374	11.8392
4.1341	11.8997
4.1308	11.9847
4.1275	12.0370
4.1242	12.0852
4.1209	12.1356
4.1177	12.1980
4.1144	12.2929
4.1111	12.3501
4.1079	12.4036
4.1046	12.4919
4.1014	12.5655
4.0981	12.6131
4.0949	12.6651
4.0917	12.7657
4.0884	12.8379
4.0852	12.8906
4.0820	12.9368
4.0788	12.9836
4.0756	13.0434
4.0724	13.0842
4.0692	13.1402
4.0660	13.1620
4.0628	13.1777
4.0596	13.1934
4.0565	13.2056
4.0533	13.2159
4.0501	13.2192
4.0470	13.2173
4.0438	13.2026
4.0406	13.1890
4.0375	13.2012
4.0344	13.2112
4.0312	13.1543
4.0281	13.0985
4.0250	13.0994
4.0218	13.1275
4.0187	13.1027
4.0156	13.0636
4.0125	13.0779
4.0094	13.0596
4.0063	13.0021
4.0032	12.9968
4.0001	13.0068
3.9970	12.9613
3.9940	12.9185
3.9909	12.9005
3.9878	12.8629
3.9847	12.8634
3.9817	12.8652
3.9786	12.8838
3.9756	12.9246
3.9725	12.9878
3.9695	13.0577
3.9665	13.0980
3.9634	13.1636
3.9604	13.2590
3.9574	13.3673
3.9544	13.4917
3.9513	13.5994
3.9483	13.7062
3.9453	13.8255
3.9423	13.9244
3.9393	14.0257
3.9363	14.1321
3.9333	14.2113
3.9304	14.2849
