Name:  Prehnite Ca2Al2Si3O10(OH)2
Type:  Mineral
Class:  Silicates
Subclass:  Phyllosilicates (Sheet Silicates); (Chlorite Group)
Particle Size:  Solid
Sample No.:  prehnite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Paterson, New Jersey, USA via Norma Vergo

Description: The sample consisted of a cluster of light green, 
translucent crystals weighing about 14 g. Purity appeared high in 
hand sample and under the microscope.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  prehni1a.txt

10.02737473	10.2202
10.00801642	10.2248
9.98873271	10.2507
9.969523168	10.3015
9.950387369	10.3872
9.931324888	10.5136
9.912335307	10.6628
9.893427994	10.8078
9.874582922	10.9677
9.855809507	11.1284
9.83710734	11.2612
9.818476015	11.3862
9.799915133	11.5019
9.781424293	11.5893
9.7630031	11.6421
9.744651161	11.6482
9.726368087	11.5881
9.70815349	11.4092
9.690006986	11.0578
9.671928196	10.4646
9.653916739	9.6133
9.635972241	8.6194
9.618094328	7.6899
9.600282632	6.9895
9.582536785	6.5779
9.564856422	6.3916
9.547241181	6.3122
9.529690704	6.2336
9.512204634	6.123
9.494782617	6.0034
9.477424301	5.9089
9.460138288	5.864
9.4429063	5.8972
9.425736975	6.1335
9.408629972	6.6623
9.391584952	7.4018
9.374601579	8.2224
9.35767952	9.0764
9.340818443	9.9829
9.324018018	10.8706
9.307277919	11.6235
9.290597822	12.2114
9.273977405	12.6623
9.257416348	13.0031
9.240914333	13.2548
9.224471046	13.4253
9.208086173	13.4668
9.191759404	13.3757
9.17549043	13.2348
9.159278945	13.0815
9.143124645	12.9355
9.127027227	12.8173
9.110986392	12.7358
9.095001842	12.6843
9.079073281	12.6604
9.06320863	12.6599
9.04739114	12.6513
9.031628764	12.613
9.015921215	12.5488
9.000268208	12.4416
8.984669459	12.2758
8.969124685	12.0698
8.953633608	11.8137
8.93819595	11.4978
8.922811435	11.1601
8.907479789	10.8213
8.89220074	10.4751
8.876974017	10.1404
8.861799353	9.834
8.846676481	9.5337
8.831605135	9.2319
8.816585054	8.948
8.801615977	8.6709
8.786697643	8.3867
8.771829795	8.0984
8.757012178	7.7873
8.742244536	7.4411
8.727526619	7.0608
8.712858175	6.6575
8.69824652	6.2378
8.683676252	5.8093
8.669154714	5.3755
8.654681663	4.9424
8.640256858	4.5181
8.625880055	4.0933
8.611551018	3.6802
8.597269507	3.2905
8.583035287	2.9089
8.568848124	2.543
8.554707784	2.207
8.540614036	1.896
8.52656665	1.623
8.512565398	1.3943
8.498610052	1.1885
8.484700388	1.0024
8.470836182	0.845
8.45701721	0.7124
8.443243252	0.605
8.429514089	0.5168
8.415829502	0.4463
8.402189274	0.3857
8.388593191	0.3394
8.375041038	0.3088
8.361539594	0.2913
8.348074642	0.2815
8.334652987	0.2786
8.32127442	0.2854
8.307938734	0.2932
8.294645723	0.3037
8.281395183	0.3191
8.268186911	0.3298
8.255020704	0.3445
8.241896361	0.3635
8.228813685	0.3826
8.215772476	0.3987
8.202772537	0.4175
8.189813674	0.4363
8.176895691	0.4509
8.164018395	0.4697
8.151188239	0.4932
8.138391724	0.51
8.125635323	0.5234
8.11291885	0.5427
8.100242116	0.5623
8.087604937	0.5796
8.075007126	0.5952
8.062448501	0.6133
8.049928879	0.6338
8.037448078	0.6489
8.025005918	0.6663
8.012602221	0.688
8.000236807	0.708
7.9879095	0.7261
7.975620124	0.7405
7.963368505	0.7554
7.951154468	0.7737
7.938977841	0.7954
7.926838452	0.8135
7.914736131	0.8296
7.902670708	0.845
7.890642014	0.8618
7.878649883	0.8779
7.866694148	0.8948
7.854780812	0.9094
7.842897355	0.9194
7.831049799	0.9353
7.819237984	0.9539
7.807461747	0.9717
7.795720929	0.9853
7.784015369	0.9985
7.772344909	1.0093
7.760709391	1.022
7.749108659	1.0381
7.737542556	1.0503
7.726010929	1.064
7.714513623	1.0798
7.703050485	1.0942
7.691621363	1.1074
7.680226106	1.1221
7.668864563	1.1411
7.657536586	1.1523
7.646242025	1.1609
7.634980733	1.1811
7.623752563	1.1953
7.61255737	1.2061
7.601395008	1.219
7.590265333	1.2317
7.579173946	1.2439
7.568109199	1.2554
7.557076711	1.2644
7.546076342	1.2712
7.535107952	1.2852
7.524171401	1.3032
7.51326655	1.3105
7.502393263	1.3152
7.491551403	1.3257
7.480740833	1.3345
7.469961418	1.3459
7.459213023	1.3545
