Name:  Chrysotile Mg3Si2O5(OH)4
Type:  Mineral
Class:   Silicates 
Subclass:   Phyllosilicates (sheet silicates) (Serpentine/Kaplin Group)
Particle Size: Coarse  (74-250 Micrometer) - fiber bundle
Sample No.:  chrysotile.1
Owner:  JHU
Wavelength Range:  IR
Origin: Smithsonian NMNH 91197; Sample from Kaapsche Hoop, 
Barberton, Transvaal (E), South Africa.
Description:  The hand sample was fibrous, asbestiform. The sample 
was relatively clean and sample portions with dust adhering were 
discarded.  The remainder was a fibrous white mass weighing 
approximately 2.35 g.  Aside from adhering dust, the sample showed 
no contamination.  The sample appears to be pure chrysotile under 
the microscope.
Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: chryso1a.txt

10.75549848	6.824
10.73322986	6.749
10.71106474	6.6404
10.68897956	6.531
10.66698525	6.4289
10.64508128	6.3367
10.62326708	6.2583
10.6015421	6.1968
10.5799058	6.1645
10.55835763	6.1748
10.53689705	6.2283
10.51552354	6.3266
10.49423657	6.4934
10.4730356	6.7024
10.45192012	6.9099
10.43088962	7.1313
10.40994358	7.3764
10.38908149	7.6289
10.36830285	7.8586
10.34760717	8.0928
10.32699394	8.3157
10.30646267	8.5036
10.28601287	8.688
10.26564407	8.8745
10.24535578	9.02
10.22514752	9.1272
10.20502924	9.249
10.1849796	9.3579
10.16500858	9.4558
10.14511574	9.6057
10.12530059	9.799
10.10556271	10.0185
10.08590162	10.3237
10.0663169	10.7312
10.04680808	11.1853
10.02737473	11.6841
10.00801642	12.2109
9.98873271	12.6843
9.969523168	13.0671
9.950387369	13.386
9.931324888	13.6496
9.912335307	13.8261
9.893427994	13.9384
9.874582922	14.0341
9.855809507	14.0644
9.83710734	14.0673
9.818476015	14.0984
9.799915133	14.1235
9.781424293	14.1049
9.7630031	14.1289
9.744651161	14.1775
9.726368087	14.2089
9.70815349	14.2675
9.690006986	14.3532
9.671928196	14.4148
9.653916739	14.4397
9.635972241	14.4375
9.618094328	14.3454
9.600282632	14.1323
9.582536785	13.8398
9.564856422	13.4321
9.547241181	12.8518
9.529690704	12.1281
9.512204634	11.2954
9.494782617	10.3581
9.477424301	9.4035
9.460138288	8.5298
9.4429063	7.78
9.425736975	7.1914
9.408629972	6.8122
9.391584952	6.5798
9.374601579	6.4546
9.35767952	6.4319
9.340818443	6.4868
9.324018018	6.5791
9.307277919	6.7053
9.290597822	6.8779
9.273977405	7.0613
9.257416348	7.2783
9.240914333	7.5449
9.224471046	7.8664
9.208086173	8.227
9.191759404	8.6321
9.17549043	9.1052
9.159278945	9.5896
9.143124645	10.0989
9.127027227	10.6738
9.110986392	11.1965
9.095001842	11.6245
9.079073281	12.0227
9.06320863	12.375
9.04739114	12.7175
9.031628764	13.1645
9.015921215	13.6599
9.000268208	13.9983
8.984669459	14.0783
8.969124685	13.9106
8.953633608	13.5283
8.93819595	12.9558
8.922811435	12.2881
8.907479789	11.5322
8.89220074	10.6623
8.876974017	9.7517
8.861799353	8.8159
8.846676481	7.8628
8.831605135	6.9011
8.816585054	5.9792
8.801615977	5.0847
8.786697643	4.2104
8.771829795	3.397
8.757012178	2.6404
8.742244536	1.9731
8.727526619	1.4363
8.712858175	1.0317
8.69824652	0.7517
8.683676252	0.5735
8.669154714	0.512
8.654681663	0.5283
8.640256858	0.5623
8.625880055	0.6255
8.611551018	0.7173
8.597269507	0.8154
8.583035287	0.908
8.568848124	0.9868
8.554707784	1.0623
8.540614036	1.158
8.52656665	1.2519
8.512565398	1.3154
8.498610052	1.3821
8.484700388	1.4746
8.470836182	1.5559
8.45701721	1.6309
8.443243252	1.7175
8.429514089	1.7954
8.415829502	1.8518
8.402189274	1.9258
8.388593191	2.0139
8.375041038	2.0825
8.361539594	2.1472
8.348074642	2.2124
8.334652987	2.2898
8.32127442	2.3694
8.307938734	2.4307
8.294645723	2.5017
