Name:  Vermiculite (Mg,Fe+2,Al)3(Al,Si)4O10(OH)2.4H2O 
Type:  Mineral
Class:  Silicates 
Subclass:   Phyllosilicates (Sheet Silicates); (Vermiculite Group)
Particle Size:  Fine  (0-2 Micrometers)
Sample No.:  vermicul.1
Owner:  JHU
Wavelength Range:  IR
Origin: Llano, Texas via Norma Vergo #VTx-1 (CMS) (purchased from 
Clay Mineral Society Repository)
Description: White, earthy clay.  XRD analysis indicates pure vermiculite for the 
less than 2 micrometer size range.




Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  none

7.9879095	1.9897
7.975620124	2.011
7.963368505	2.0334
7.951154468	2.0527
7.938977841	2.0808
7.926838452	2.1111
7.914736131	2.1309
7.902670708	2.1399
7.890642014	2.1575
7.878649883	2.1858
7.866694148	2.2058
7.854780812	2.2217
7.842897355	2.2485
7.831049799	2.2771
7.819237984	2.2983
7.807461747	2.3247
7.795720929	2.3452
7.784015369	2.3616
7.772344909	2.3791
7.760709391	2.3992
7.749108659	2.4197
7.737542556	2.4392
7.726010929	2.4646
7.714513623	2.488
7.703050485	2.5
7.691621363	2.512
7.680226106	2.5364
7.668864563	2.5618
7.657536586	2.582
7.646242025	2.5923
7.634980733	2.6062
7.623752563	2.6267
7.61255737	2.645
7.601395008	2.6584
7.590265333	2.6675
7.579173946	2.686
7.568109199	2.706
7.557076711	2.7175
7.546076342	2.7302
7.535107952	2.749
7.524171401	2.7583
7.51326655	2.7661
7.502393263	2.782
7.491551403	2.7988
7.480740833	2.8093
7.469961418	2.8147
7.459213023	2.8252
7.448495516	2.8347
7.437808762	2.852
7.42715263	2.8682
7.416526989	2.8747
7.405931707	2.8877
7.395366655	2.9048
7.384831703	2.9048
7.374326724	2.9111
7.363851589	2.9268
7.353406171	2.9338
7.342990345	2.9272
7.332603984	2.9275
7.322252325	2.9468
7.311924506	2.946
7.30162578	2.9372
7.291356025	2.9434
7.281115117	2.9412
7.270902937	2.9372
7.260719363	2.9387
7.250564275	2.936
7.240437554	2.925
7.230339081	2.9204
7.220268738	2.9175
7.210226408	2.9123
7.200211974	2.9072
7.19022532	2.9065
7.18026633	2.9004
7.17033489	2.8816
7.160436013	2.8655
7.150559317	2.8562
7.140709829	2.8476
7.130887439	2.8347
7.121092034	2.8267
7.111323503	2.8249
7.101581735	2.8201
7.091866622	2.8169
7.082178053	2.8147
7.07251592	2.8103
7.062880115	2.8125
7.053270531	2.8184
7.04368706	2.8162
7.034129597	2.8101
7.024598035	2.7908
7.01509227	2.7744
7.005612196	2.7549
6.99615771	2.7275
6.986728709	2.7075
6.977325089	2.6934
6.967946748	2.6714
6.958593585	2.6411
6.949265497	2.6201
6.939962385	2.6079
6.930688952	2.5893
6.921435478	2.563
6.912206681	2.5447
6.903002461	2.5378
6.893822721	2.5349
6.884667364	2.5283
6.875536292	2.5166
6.866429409	2.5122
6.857346618	2.5134
6.848287825	2.5178
6.839252935	2.5276
6.830241852	2.5417
6.821254483	2.5537
6.812290735	2.5618
6.803350514	2.5749
6.794433728	2.5996
6.785540285	2.6204
6.776670093	2.6343
6.767823062	2.6521
6.7589991	2.6738
6.750198118	2.696
6.741420026	2.7056
6.732664735	2.7214
6.723932156	2.7375
6.715226709	2.7522
6.706539278	2.7751
6.697874296	2.7998
6.689231675	2.8152
6.680611329	2.8281
6.672013173	2.8567
6.663437121	2.8821
6.654883087	2.8904
6.646350987	2.9023
6.637840737	2.9263
6.629352253	2.9558
6.620885451	2.9746
6.612440248	2.9827
6.604016563	3.0061
6.595614312	3.0359
6.587233415	3.0522
6.578873789	3.0662
6.570535354	3.0828
6.56221803	3.0947
6.553921736	3.1016
6.545646392	3.1064
6.537391921	3.1182
6.529158241	3.1247
6.520945276	3.1223
6.512757189	3.1223
6.504585407	3.1152
6.496434107	3.1086
6.488303211	3.1113
6.480192643	3.1081
6.472102327	3.0935
6.464032186	3.0735
6.455982145	3.0613
6.44795213	3.0471
6.439942066	3.0229
6.431951879	3.0022
6.423981494	2.9824
6.416030838	2.9553
6.408099838	2.9255
6.400188422	2.8975
6.392296516	2.8694
6.384424048	2.8318
6.376570948	2.7851
6.368737143	2.7461
6.360922563	2.7095
6.353127136	2.6628
6.345350793	2.6118
6.337593464	2.5625
6.329855078	2.5054
6.322139564	2.446
6.314438848	2.3884
6.30675687	2.3298
6.29909356	2.2685
6.291448851	2.2021
6.283822676	2.136
6.276214965	2.0701
6.268625654	2.0017
6.261054675	1.9382
6.253501961	1.8779
6.245967447	1.814
6.238451067	1.7505
6.230952756	1.6902
6.223472449	1.6352
6.21601008	1.5889
6.208565585	1.5391
6.201142747	1.4929
6.1937338	1.458
6.186342535	1.4187
6.178968891	1.376
6.171612803	1.3406
6.164274209	1.3074
6.156953047	1.2761
6.149649255	1.2434
6.14236277	1.2151
6.135093533	1.1914
6.12784148	1.1719
6.120606552	1.1504
6.113388688	1.1289
6.106187828	1.116
6.099003911	1.1121
6.091836878	1.1025
6.084686669	1.0911
6.077553226	1.0764
6.070436489	1.0559
6.063336399	1.0457
6.056252899	1.0417
6.049185931	1.0378
6.042135436	1.0291
6.035101357	1.0217
6.02808727	1.0234
6.021085843	1.0142
6.01410066	1.0083
6.007131667	1.0107
6.000178805	1.0168
5.99324202	1.03
5.986321256	1.0515
5.979416457	1.071
5.972527568	1.0928
5.965654534	1.124
5.9587973	1.1648
5.951955813	1.2046
5.945130017	1.2502
5.938319859	1.3096
5.931525286	1.3791
5.924746243	1.4492
5.917982678	1.5271
5.911234538	1.6106
5.904501769	1.696
5.89778432	1.7854
5.891082139	1.8823
5.884395172	1.9785
5.87772337	2.0806
5.871066679	2.1772
5.864428488	2.2705
5.85780186	2.3728
5.851190191	2.4766
5.84459343	2.5732
5.838011527	2.6736
5.831444431	2.7761
5.824892094	2.8738
5.818354465	2.9724
5.811831494	3.0654
5.805323133	3.1553
5.798829332	3.2497
5.792350043	3.3379
5.785885217	3.4175
5.779434806	3.4971
5.772998761	3.5727
5.766577035	3.6443
5.760169579	3.7204
5.753776347	3.7983
5.747397291	3.865
5.741032364	3.9258
5.734681519	3.9941
5.728344709	4.0588
5.722021888	4.1108
5.715713009	4.1653
5.709421287	4.2246
5.703140149	4.2724
5.696872816	4.3218
5.690619242	4.3701
5.684379382	4.4143
5.678153192	4.4563
5.671940626	4.5049
5.66574164	4.55
5.659556189	4.5847
5.653384229	4.6164
5.647225716	4.6523
5.641080605	4.6899
5.634948854	4.7275
5.628830419	4.7717
5.622725256	4.8047
5.616633323	4.8308
5.610557723	4.864
5.604492113	4.8972
5.598439603	4.9136
5.592400152	4.9328
5.586373717	4.9573
5.580360257	4.9729
5.574359729	4.9924
5.568372092	5.0107
5.562397304	5.0293
5.556435324	5.0408
5.550486112	5.053
5.544549625	5.0737
5.538625823	5.0881
5.532714665	5.1028
5.526816112	5.1199
5.520930122	5.1304
5.515056656	5.1511
5.509195674	5.1811
5.503347136	5.1973
5.497511002	5.2156
5.491687233	5.2478
5.48587579	5.2676
5.480076633	5.2869
5.474289725	5.322
5.468518015	5.3506
5.462755479	5.3779
5.457005076	5.4089
5.451266765	5.4419
5.445540511	5.4641
5.439826274	5.4841
5.434124016	5.5058
5.428433701	5.5273
5.422755291	5.5471
5.417088748	5.5757
5.411434035	5.6033
5.405791116	5.6164
5.400159953	5.6333
5.394540509	5.6579
5.388932749	5.6785
5.383336635	5.6951
5.377752132	5.7119
5.372179203	5.7309
5.366617813	5.7512
5.361067925	5.7773
5.355529504	5.7986
5.350002515	5.8108
5.344486921	5.8279
5.338982689	5.854
5.333492627	5.8764
5.328011006	5.9001
5.32254064	5.9263
5.317081497	5.9507
5.31163354	5.9663
5.306196736	5.9875
5.30077105	6.011
5.295356449	6.0259
5.289952898	6.0378
5.284560364	6.0547
5.279178813	6.0705
5.273808212	6.0874
5.268448526	6.112
5.263099724	6.1352
5.257761771	6.1489
5.252434635	6.1645
5.247118283	6.1828
5.241812682	6.1911
5.236517799	6.2007
5.231233603	6.2212
5.225960061	6.2341
5.220697141	6.2441
5.21544481	6.2605
5.210203036	6.2688
5.204974498	6.2693
5.19975374	6.2776
5.194543444	6.29
5.189343579	6.2986
5.184154115	6.3056
5.178975019	6.3164
5.173806261	6.3208
5.168647809	6.3227
5.163499634	6.3398
5.158361704	6.3515
5.153233989	6.3518
5.148116459	6.3586
5.143009082	6.3696
5.137911829	6.3691
5.13282467	6.3706
5.127747575	6.3835
5.122680514	6.3877
5.117623458	6.3879
5.112576376	6.3972
5.107539239	6.407
5.102512018	6.4084
5.097494683	6.4136
5.092487206	6.4192
5.087489558	6.4231
5.082504292	6.4275
5.077526209	6.4299
5.072557868	6.4272
5.06759924	6.4258
5.062650297	6.4304
5.057711011	6.4372
5.052781354	6.4353
5.047861297	6.4375
5.042950812	6.4416
5.038049872	6.4414
5.033158448	6.4424
5.028276513	6.4487
5.023404039	6.4519
5.018541	6.4499
5.013687367	6.4534
5.008843113	6.4521
5.004010715	6.4499
4.999185133	6.4492
4.994368849	6.4468
4.989561837	6.436
4.984764069	6.4348
4.979975518	6.4382
4.97519616	6.4358
4.970425966	6.4302
4.96566491	6.4299
4.960912967	6.4285
4.95617011	6.4275
4.951436313	6.4309
4.94671155	6.4324
4.941995795	6.4328
4.937289023	6.4306
4.932591209	6.4336
4.927902325	6.4299
4.923222347	6.4265
4.918551251	6.4316
4.913889009	6.4365
4.909235598	6.435
4.904590991	6.4355
4.899955165	6.4365
4.895328095	6.4385
4.890712146	6.4407
4.886102507	6.4497
4.88150155	6.4524
4.876909249	6.4504
4.87232558	6.4565
4.86775052	6.4685
4.863184043	6.4673
4.858626126	6.4621
4.854076745	6.4656
4.849535875	6.4607
4.845003493	6.4573
4.840479575	6.4685
4.835964098	6.477
4.831457037	6.4697
4.826958369	6.4704
4.822468072	6.4775
4.81798612	6.479
4.813512492	6.4722
4.809047164	6.4746
4.804590113	6.4817
4.800141316	6.4822
4.79570075	6.4819
4.791268392	6.4819
4.78684422	6.4783
4.782430498	6.4829
4.778022625	6.4829
4.773622869	6.4795
4.769231209	6.4834
4.764847623	6.4829
4.760472086	6.478
4.756104579	6.4748
4.751745078	6.4817
4.747393562	6.4795
4.743050009	6.4768
4.738714396	6.4831
4.734386703	6.4846
4.730066907	6.4836
4.725754987	6.4888
4.721450921	6.4968
4.717154688	6.4914
4.712866266	6.4848
4.708585635	6.4929
4.704312773	6.4922
4.700047658	6.4809
4.695790271	6.479
4.691540589	6.4858
4.687298593	6.4834
4.68306426	6.4802
4.67883976	6.48
4.67462069	6.4805
4.670409221	6.47
4.666205334	6.4704
4.662009009	6.4785
4.657820224	6.4736
4.65363896	6.4726
4.649465195	6.4729
4.645298911	6.4709
4.641140087	6.466
4.636988702	6.4624
4.632844738	6.4555
4.628708174	6.4546
4.62457899	6.4563
4.620457167	6.4485
4.616342684	6.4438
4.612235523	6.4431
4.608135664	6.4365
4.604043086	6.4282
4.599957772	6.4241
4.595879702	6.4233
4.591808856	6.4216
4.587745215	6.4153
4.58368876	6.4123
4.57964157	6.4065
4.575599426	6.4001
4.571564412	6.396
4.567536508	6.3838
4.563515696	6.3684
4.559501956	6.366
4.555495271	6.3645
4.551495621	6.3545
4.547502989	6.3469
4.543517355	6.3435
4.539538701	6.3325
4.535567009	6.3181
4.531602261	6.3166
4.527644439	6.3144
4.523693523	6.2976
4.519749497	6.2788
4.515814382	6.2693
4.511884077	6.2624
4.507960608	6.2554
4.504043956	6.2444
4.500134104	6.2397
4.496231034	6.2361
4.492334729	6.2275
4.488445171	6.2156
4.484562343	6.2026
4.480686226	6.1877
