Name:  Nontronite Na0.33Fe2+3(Si,Al)4O10.3H2O
Type:  Mineral
Class:  Silicates
Subclass:  Phyllosilicates (Sheet Silicates); (Smectite Group)
Particle Size:  0-2 micrometers.  (Packed powder simulates coarse.)
Sample No.:  nontron.1
Owner: JHU
Wavelength Range:  IR
Origin:  Holen Hagen, Germany via the Hunt and Salisbury Collection 
#CMS Ng-1 (purchased from the Clay Mineral Society Repository)
Description: Brown, earthy clay. Less than 2 µm fraction is nontronite, plus a faint 
trace of quartz.  Larger size fraction has abundant quartz.  (Note: Quartz features 
do not show up in spectra of the <2 µm size fraction, either sifted or packed.)



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  none

9.143124645	15.8779
9.127027227	15.7536
9.110986392	15.6113
9.095001842	15.4802
9.079073281	15.3693
9.06320863	15.2507
9.04739114	15.1418
9.031628764	15.0544
9.015921215	14.9965
9.000268208	14.9272
8.984669459	14.8645
8.969124685	14.8288
8.953633608	14.7912
8.93819595	14.7644
8.922811435	14.7639
8.907479789	14.75
8.89220074	14.728
8.876974017	14.7175
8.861799353	14.7111
8.846676481	14.7087
8.831605135	14.687
8.816585054	14.6738
8.801615977	14.6391
8.786697643	14.5556
8.771829795	14.4538
8.757012178	14.3237
8.742244536	14.144
8.727526619	13.934
8.712858175	13.6858
8.69824652	13.3869
8.683676252	13.0544
8.669154714	12.6933
8.654681663	12.2758
8.640256858	11.811
8.625880055	11.3462
8.611551018	10.894
8.597269507	10.4511
8.583035287	10.0129
8.568848124	9.5786
8.554707784	9.1272
8.540614036	8.6521
8.52656665	8.176
8.512565398	7.6855
8.498610052	7.1875
8.484700388	6.7185
8.470836182	6.26
8.45701721	5.8032
8.443243252	5.3777
8.429514089	4.9741
8.415829502	4.5889
8.402189274	4.2353
8.388593191	3.9241
8.375041038	3.656
8.361539594	3.4285
8.348074642	3.2507
8.334652987	3.1072
8.32127442	2.9912
8.307938734	2.9219
8.294645723	2.8867
8.281395183	2.8606
8.268186911	2.8386
8.255020704	2.8367
8.241896361	2.8469
8.228813685	2.8679
8.215772476	2.8904
8.202772537	2.916
8.189813674	2.9448
8.176895691	2.978
8.164018395	3.022
8.151188239	3.0654
8.138391724	3.1111
8.125635323	3.1711
8.11291885	3.2339
8.100242116	3.2954
8.087604937	3.3618
8.075007126	3.4233
8.062448501	3.48
8.049928879	3.5498
8.037448078	3.6218
8.025005918	3.6865
8.012602221	3.748
8.000236807	3.8227
7.9879095	3.8889
7.975620124	3.9563
7.963368505	4.0271
7.951154468	4.0945
7.938977841	4.1558
7.926838452	4.2224
7.914736131	4.2922
7.902670708	4.3599
7.890642014	4.4309
7.878649883	4.4956
7.866694148	4.56
7.854780812	4.6289
7.842897355	4.6882
7.831049799	4.751
7.819237984	4.8154
7.807461747	4.8828
7.795720929	4.9514
7.784015369	5.0083
7.772344909	5.0632
7.760709391	5.1225
7.749108659	5.1819
7.737542556	5.2407
7.726010929	5.2993
7.714513623	5.3476
7.703050485	5.3926
7.691621363	5.4438
7.680226106	5.4931
7.668864563	5.5281
7.657536586	5.5659
7.646242025	5.6062
7.634980733	5.6455
7.623752563	5.6843
7.61255737	5.7224
7.601395008	5.76
7.590265333	5.7873
7.579173946	5.8169
7.568109199	5.8464
7.557076711	5.8743
7.546076342	5.9109
7.535107952	5.949
7.524171401	5.9729
7.51326655	6.0039
7.502393263	6.0359
7.491551403	6.0603
7.480740833	6.0837
7.469961418	6.1052
7.459213023	6.1338
7.448495516	6.1684
7.437808762	6.1958
7.42715263	6.2163
7.416526989	6.2261
7.405931707	6.248
7.395366655	6.282
7.384831703	6.2993
7.374326724	6.3127
7.363851589	6.3379
7.353406171	6.3576
7.342990345	6.3738
7.332603984	6.3935
7.322252325	6.4145
7.311924506	6.4294
7.30162578	6.4463
7.291356025	6.4658
7.281115117	6.4775
7.270902937	6.488
7.260719363	6.5122
7.250564275	6.5283
7.240437554	6.5476
7.230339081	6.5674
7.220268738	6.5871
7.210226408	6.604
7.200211974	6.6243
7.19022532	6.6465
7.18026633	6.6579
7.17033489	6.6755
7.160436013	6.6929
7.150559317	6.7053
7.140709829	6.7236
7.130887439	6.7414
7.121092034	6.7493
7.111323503	6.7629
7.101581735	6.7815
7.091866622	6.792
7.082178053	6.7993
7.07251592	6.8103
7.062880115	6.8252
7.053270531	6.8252
7.04368706	6.8288
7.034129597	6.852
7.024598035	6.8718
7.01509227	6.8796
7.005612196	6.8852
6.99615771	6.8965
6.986728709	6.9109
6.977325089	6.9184
6.967946748	6.9158
6.958593585	6.9219
6.949265497	6.9465
6.939962385	6.9555
6.930688952	6.9712
6.921435478	6.9795
6.912206681	6.9802
6.903002461	6.9973
6.893822721	7.0222
6.884667364	7.0256
6.875536292	7.0278
6.866429409	7.0129
6.857346618	7.0261
6.848287825	7.0696
6.839252935	7.0923
6.830241852	7.0871
6.821254483	7.0928
6.812290735	7.1103
6.803350514	7.1108
6.794433728	7.0932
6.785540285	7.1003
6.776670093	7.1262
6.767823062	7.1338
6.7589991	7.1438
6.750198118	7.1667
6.741420026	7.1824
6.732664735	7.1867
6.723932156	7.2051
6.715226709	7.2163
6.706539278	7.22
6.697874296	7.2388
6.689231675	7.2507
6.680611329	7.2434
6.672013173	7.2588
6.663437121	7.2856
6.654883087	7.2925
6.646350987	7.2639
6.637840737	7.2461
6.629352253	7.2771
6.620885451	7.3037
6.612440248	7.3144
6.604016563	7.3176
6.595614312	7.3078
6.587233415	7.3113
6.578873789	7.2995
6.570535354	7.2871
6.56221803	7.3076
6.553921736	7.3191
6.545646392	7.321
6.537391921	7.3247
6.529158241	7.3254
6.520945276	7.3108
6.512757189	7.3157
6.504585407	7.3076
6.496434107	7.2739
6.488303211	7.2693
6.480192643	7.2861
6.472102327	7.2954
6.464032186	7.2969
6.455982145	7.2927
6.44795213	7.2908
6.439942066	7.2793
6.431951879	7.2514
6.423981494	7.2256
6.416030838	7.178
6.408099838	7.1772
6.400188422	7.2063
6.392296516	7.2031
6.384424048	7.1936
6.376570948	7.1596
6.368737143	7.1238
6.360922563	7.1186
6.353127136	7.0859
6.345350793	7.0244
6.337593464	7.0117
6.329855078	7
6.322139564	6.9602
6.314438848	6.9321
6.30675687	6.9004
6.29909356	6.8564
6.291448851	6.8113
6.283822676	6.7639
6.276214965	6.7029
6.268625654	6.6499
6.261054675	6.6055
6.253501961	6.5615
6.245967447	6.5149
6.238451067	6.4809
6.230952756	6.4446
6.223472449	6.4075
6.21601008	6.3745
6.208565585	6.3506
6.201142747	6.3227
6.1937338	6.2937
6.186342535	6.2615
6.178968891	6.2471
6.171612803	6.237
6.164274209	6.2187
6.156953047	6.1987
